Source,Target,Weight,Type
3998,88,95,Directed
3998,3998,24,Directed
3998,13813,12,Directed
197061,88,69,Directed
197061,197061,43,Directed
89805,88,69,Directed
89805,3998,66,Directed
89805,13808,31,Directed
89805,13813,28,Directed
89805,11991,20,Directed
89805,92274,19,Directed
89805,9704,17,Directed
89805,39885,16,Directed
89805,35729,15,Directed
89805,16801,13,Directed
89805,110903,12,Directed
89805,1988,11,Directed
89805,677,11,Directed
89805,42172,10,Directed
89805,5226,10,Directed
89805,12751,9,Directed
89805,42182,9,Directed
89805,519,9,Directed
89805,64906,9,Directed
89805,6765,9,Directed
89805,98204,9,Directed
89805,19604,7,Directed
89805,64911,7,Directed
89805,20385,6,Directed
89805,3547,6,Directed
89805,3972,6,Directed
89805,511,6,Directed
377122,377122,58,Directed
120477,88,48,Directed
80101,207711,41,Directed
80101,13797,12,Directed
80101,88,10,Directed
80101,1988,9,Directed
207711,80101,16,Directed
26158,88,40,Directed
26158,3998,18,Directed
26158,677,11,Directed
26158,1988,9,Directed
26158,13798,7,Directed
26158,13813,7,Directed
26158,12751,6,Directed
26158,26158,6,Directed
26158,4336,6,Directed
26158,5226,6,Directed
11852,88,39,Directed
11852,3998,37,Directed
11852,13813,10,Directed
62391,88,37,Directed
62391,5193,9,Directed
17527,81181,36,Directed
17527,5859,11,Directed
17527,17527,10,Directed
17527,88,8,Directed
81181,17527,36,Directed
81181,5859,17,Directed
81181,81181,13,Directed
81181,88,13,Directed
81181,677,7,Directed
81181,12966,6,Directed
220058,220058,36,Directed
50219,4665,35,Directed
50219,3994,14,Directed
50219,6373,9,Directed
4665,88,8,Directed
6940,32972,33,Directed
6940,6940,12,Directed
6940,35376,9,Directed
32972,6940,11,Directed
142160,3998,32,Directed
142160,88,32,Directed
64911,88,32,Directed
64911,3998,20,Directed
64911,13813,11,Directed
64911,103447,8,Directed
64911,39885,8,Directed
64911,98992,7,Directed
64911,28951,6,Directed
162402,131327,31,Directed
162402,191140,19,Directed
162402,553,18,Directed
162402,162402,16,Directed
162402,202696,16,Directed
162402,88,10,Directed
162402,1988,6,Directed
131327,162402,15,Directed
131327,191140,11,Directed
131327,88,8,Directed
407912,88,31,Directed
407912,3998,22,Directed
407912,13813,9,Directed
13808,13808,10,Directed
181190,5516,30,Directed
360368,360368,30,Directed
266400,19913,29,Directed
35729,3998,28,Directed
35729,88,24,Directed
35729,3533,12,Directed
35729,35723,6,Directed
38819,9021,28,Directed
38819,33833,10,Directed
9021,50218,13,Directed
9021,8855,7,Directed
9021,35376,6,Directed
9021,50244,6,Directed
9021,8915,6,Directed
53508,88,28,Directed
53508,13813,20,Directed
53508,3998,20,Directed
53508,11991,12,Directed
53508,42182,8,Directed
53508,677,8,Directed
53508,92274,8,Directed
53508,103447,7,Directed
53508,19604,7,Directed
53508,42172,7,Directed
53508,349,6,Directed
53508,39885,6,Directed
85795,88,28,Directed
85795,11991,7,Directed
85795,3998,7,Directed
13813,16801,8,Directed
13813,103447,6,Directed
13813,39885,5,Directed
163806,677,27,Directed
163806,3994,11,Directed
163806,88,11,Directed
13854,13854,26,Directed
13854,117615,5,Directed
436078,216655,26,Directed
436078,68285,17,Directed
216655,68285,10,Directed
67382,67382,26,Directed
67382,88,11,Directed
67382,12751,10,Directed
67382,9704,9,Directed
67382,98204,8,Directed
67382,13808,6,Directed
67382,2177,6,Directed
67382,519,6,Directed
215057,1276,24,Directed
215057,88,8,Directed
215057,1988,5,Directed
1276,1988,18,Directed
1276,27483,14,Directed
1276,88,13,Directed
1276,349,8,Directed
1276,3998,8,Directed
1276,1276,7,Directed
247514,88,24,Directed
247514,3998,7,Directed
69970,141619,24,Directed
69970,68132,8,Directed
69970,88,7,Directed
141619,69970,20,Directed
141619,88,13,Directed
141619,93314,11,Directed
141619,3998,7,Directed
75798,88,24,Directed
75798,3998,23,Directed
75798,13813,13,Directed
75798,11991,11,Directed
75798,26153,10,Directed
75798,1988,6,Directed
28951,1988,23,Directed
28951,28951,5,Directed
28951,88,5,Directed
27311,88,22,Directed
27311,677,19,Directed
27311,13813,6,Directed
27311,4368,5,Directed
42180,42179,22,Directed
42180,42180,9,Directed
42180,88,6,Directed
209640,88,21,Directed
90442,88,21,Directed
90442,3998,19,Directed
90442,13813,9,Directed
90442,1988,7,Directed
92066,13813,21,Directed
92066,88,16,Directed
92066,3998,14,Directed
221491,88,20,Directed
221491,13813,18,Directed
221491,3998,18,Directed
221491,1276,14,Directed
221491,19604,10,Directed
221491,11991,9,Directed
221491,1988,8,Directed
30478,14957,20,Directed
14957,92274,7,Directed
3533,35729,20,Directed
3533,13808,8,Directed
3533,35723,8,Directed
3533,3533,7,Directed
3533,3998,7,Directed
3533,92274,7,Directed
3533,9704,5,Directed
11991,13809,8,Directed
11991,42182,7,Directed
11991,88,7,Directed
11991,19604,5,Directed
11991,56968,5,Directed
92274,3998,20,Directed
92274,13813,16,Directed
92274,88,11,Directed
92274,3547,6,Directed
92274,41655,6,Directed
92274,64906,6,Directed
11118,20683,19,Directed
20683,11118,6,Directed
142345,133894,19,Directed
133894,142345,6,Directed
164933,74039,19,Directed
164933,88,15,Directed
164933,187458,6,Directed
164933,164933,5,Directed
372150,275600,19,Directed
275600,372150,5,Directed
388659,1988,19,Directed
388659,88,18,Directed
56968,11991,19,Directed
9036,9021,19,Directed
9036,80426,6,Directed
123517,111728,18,Directed
111728,123517,9,Directed
111728,88,6,Directed
131851,88,18,Directed
131851,3994,12,Directed
131851,5383,5,Directed
553,677,6,Directed
227353,227353,18,Directed
324955,324955,18,Directed
324955,88,9,Directed
324955,1881,7,Directed
50250,9021,18,Directed
50250,38819,8,Directed
50250,50228,7,Directed
6765,89805,18,Directed
6765,13808,7,Directed
76165,88,18,Directed
76165,69237,9,Directed
76165,13813,8,Directed
76165,3998,8,Directed
76165,19604,6,Directed
98204,26153,18,Directed
98204,88,16,Directed
98204,98204,10,Directed
98204,67382,9,Directed
98204,11991,7,Directed
98204,4665,7,Directed
26153,88,9,Directed
26153,98204,7,Directed
158955,26153,17,Directed
158955,3998,9,Directed
158955,1988,8,Directed
158955,1276,7,Directed
158955,13813,6,Directed
158955,88,6,Directed
177652,3998,17,Directed
177652,88,7,Directed
182906,49179,17,Directed
182906,3998,11,Directed
182906,88,11,Directed
182906,116323,5,Directed
182906,182906,5,Directed
49179,88,8,Directed
49179,182906,6,Directed
230370,88,17,Directed
230370,19913,14,Directed
230370,14615,6,Directed
29252,88,17,Directed
29252,3998,13,Directed
29252,5226,5,Directed
68285,88,13,Directed
68285,1988,11,Directed
68285,6241,10,Directed
77058,88,17,Directed
77058,76165,12,Directed
5859,5859,8,Directed
98430,98433,17,Directed
98430,193543,10,Directed
98430,88,9,Directed
98433,88,6,Directed
98433,98430,6,Directed
130816,130814,16,Directed
130816,130815,5,Directed
130816,677,5,Directed
130814,130816,9,Directed
130814,130815,5,Directed
140402,216,16,Directed
14615,14588,16,Directed
14615,57105,10,Directed
14615,88,7,Directed
149327,88,16,Directed
202696,162402,7,Directed
167376,139524,16,Directed
167376,88,9,Directed
167376,677,7,Directed
167376,106925,6,Directed
167376,349,6,Directed
139524,167376,8,Directed
139524,26367,7,Directed
139524,106925,5,Directed
190358,1988,16,Directed
190358,677,6,Directed
314122,372414,16,Directed
372414,314122,9,Directed
372414,372414,8,Directed
331789,677,16,Directed
331789,88,6,Directed
57324,57319,16,Directed
57319,57324,6,Directed
71311,88,16,Directed
71311,35382,7,Directed
71311,54070,7,Directed
8855,9021,16,Directed
39885,103447,11,Directed
39885,89814,8,Directed
39885,88,6,Directed
10179,88,15,Directed
103447,39885,15,Directed
103447,103447,11,Directed
103447,64911,11,Directed
103447,88,10,Directed
103447,89814,9,Directed
105143,88,15,Directed
105143,9021,13,Directed
15439,3998,15,Directed
15439,88,11,Directed
15439,11991,5,Directed
15439,13813,5,Directed
206362,88,15,Directed
206362,3998,12,Directed
206362,98204,7,Directed
206362,26153,5,Directed
236994,88,15,Directed
236994,13813,5,Directed
257094,88,15,Directed
257094,13813,5,Directed
29937,3998,15,Directed
29937,88,12,Directed
32243,32243,15,Directed
7569,58574,15,Directed
7569,7569,8,Directed
93500,271558,15,Directed
93500,204755,11,Directed
271558,204755,13,Directed
271558,93500,10,Directed
93502,105601,15,Directed
93502,126503,6,Directed
135369,1988,14,Directed
135369,88,10,Directed
135369,677,8,Directed
150857,3998,14,Directed
150857,88,6,Directed
168893,107766,14,Directed
107766,168893,5,Directed
20533,251241,14,Directed
251241,20533,7,Directed
218218,42064,14,Directed
42064,218218,6,Directed
229447,1276,14,Directed
229447,1988,14,Directed
229447,5193,5,Directed
238310,238311,14,Directed
238310,88,6,Directed
238311,238310,14,Directed
238311,88,7,Directed
2564,677,14,Directed
2564,88,11,Directed
2564,3998,6,Directed
27705,8835,14,Directed
27705,50305,10,Directed
27705,35375,6,Directed
27705,88,6,Directed
8835,27705,14,Directed
302797,88,14,Directed
302797,13813,13,Directed
302797,42172,8,Directed
302797,42182,7,Directed
302797,39885,5,Directed
318856,406640,14,Directed
406640,318856,8,Directed
344696,6940,14,Directed
344696,32972,5,Directed
34796,34796,14,Directed
408904,408905,14,Directed
408905,408904,10,Directed
3994,6373,10,Directed
51640,88,14,Directed
51640,677,9,Directed
51640,1988,7,Directed
54135,92500,14,Directed
92500,54135,7,Directed
7020,1276,14,Directed
7020,11991,10,Directed
103986,7690,13,Directed
103986,677,8,Directed
7690,7690,12,Directed
120063,88,13,Directed
120063,89805,7,Directed
120063,120063,5,Directed
136111,88,13,Directed
136111,1276,10,Directed
136111,677,6,Directed
136111,1988,5,Directed
152942,349,13,Directed
152942,677,11,Directed
16990,13813,13,Directed
16990,88,13,Directed
16990,12751,11,Directed
16990,3998,7,Directed
16990,677,5,Directed
216056,88,13,Directed
216056,216056,6,Directed
240790,88,13,Directed
240790,3998,5,Directed
33833,9021,13,Directed
33833,33833,7,Directed
33833,88,5,Directed
35376,6940,13,Directed
35376,9021,13,Directed
35376,67382,7,Directed
35376,3998,6,Directed
35376,35375,5,Directed
35376,35376,5,Directed
36417,36417,13,Directed
36417,88,10,Directed
36417,13808,8,Directed
36417,3998,6,Directed
389,88,13,Directed
403954,519,13,Directed
403954,3998,11,Directed
403954,13813,10,Directed
403954,88,10,Directed
403954,1988,9,Directed
41828,3998,13,Directed
41828,88,9,Directed
61287,88,13,Directed
68132,69970,13,Directed
7501,1276,13,Directed
7501,4177,7,Directed
7501,27483,6,Directed
76667,52908,13,Directed
52908,36436,9,Directed
52908,13808,6,Directed
52908,25006,6,Directed
52908,49434,6,Directed
52908,76667,6,Directed
81405,1988,13,Directed
81405,88,13,Directed
81405,349,10,Directed
81405,4665,9,Directed
81405,6241,9,Directed
81405,13808,7,Directed
81405,677,7,Directed
81405,3972,6,Directed
81405,5226,6,Directed
50218,9021,8,Directed
100103,88,12,Directed
118274,88,12,Directed
121179,121179,12,Directed
127479,11991,12,Directed
127479,1988,7,Directed
127479,5226,5,Directed
127479,88,5,Directed
138461,37502,12,Directed
37502,37502,11,Directed
166174,9704,12,Directed
168699,1988,12,Directed
168699,88,10,Directed
168820,13813,12,Directed
168820,88,7,Directed
187458,74039,12,Directed
187458,164933,9,Directed
2014,2014,12,Directed
2014,2941,5,Directed
20730,88,12,Directed
20730,3998,10,Directed
20971,79100,12,Directed
79100,20971,6,Directed
232850,1988,12,Directed
232850,1276,7,Directed
232850,3604,7,Directed
285111,3424,12,Directed
3424,285111,6,Directed
292088,129929,12,Directed
292088,26175,8,Directed
129929,292088,9,Directed
129929,2014,7,Directed
338829,145851,12,Directed
145851,338829,7,Directed
145851,677,6,Directed
373673,373672,12,Directed
373672,373673,6,Directed
377965,377965,12,Directed
41655,92274,12,Directed
41655,3547,6,Directed
42172,3998,12,Directed
42172,88,10,Directed
42172,13813,7,Directed
428447,88,12,Directed
428447,3998,6,Directed
43725,43725,12,Directed
46839,88,12,Directed
50297,50285,12,Directed
50285,50285,6,Directed
50285,50297,6,Directed
52122,6166,12,Directed
6166,52122,7,Directed
56426,35376,12,Directed
56426,6940,11,Directed
56426,677,7,Directed
56426,16672,6,Directed
69127,37502,12,Directed
69127,32972,11,Directed
69127,6940,10,Directed
69127,19913,6,Directed
13797,80101,10,Directed
84112,93502,12,Directed
84112,153606,8,Directed
8915,9021,12,Directed
110903,11991,9,Directed
110903,56968,6,Directed
104613,2941,11,Directed
104613,2014,10,Directed
104613,88,6,Directed
108134,1988,11,Directed
108134,88,10,Directed
108134,677,6,Directed
124506,216655,11,Directed
124506,88,11,Directed
124506,68285,6,Directed
128768,88,11,Directed
128768,5226,9,Directed
93314,121293,6,Directed
93314,141619,6,Directed
164883,88,11,Directed
166106,13813,11,Directed
166106,88,8,Directed
12751,12751,10,Directed
170689,1276,11,Directed
170689,88,7,Directed
170689,349,5,Directed
170689,511,5,Directed
18561,30400,11,Directed
18561,349,6,Directed
18561,1988,5,Directed
30400,18561,10,Directed
192260,10093,11,Directed
192260,13239,10,Directed
228749,1988,11,Directed
228749,88,8,Directed
22977,88,11,Directed
22977,26158,6,Directed
235473,6940,11,Directed
235473,32972,8,Directed
251638,138464,11,Directed
138464,251638,9,Directed
138464,138464,5,Directed
25258,88,11,Directed
25258,7690,5,Directed
272131,88,11,Directed
272131,3547,9,Directed
272131,3998,8,Directed
28458,30826,11,Directed
28458,7566,9,Directed
28458,88,5,Directed
30826,28458,5,Directed
297144,19913,11,Directed
297144,37532,10,Directed
297144,35352,6,Directed
303072,88,11,Directed
327935,88,11,Directed
327935,2177,7,Directed
36989,88,11,Directed
36989,5226,10,Directed
383668,69237,11,Directed
383668,76165,6,Directed
42354,42354,11,Directed
46117,46117,11,Directed
50244,9021,11,Directed
50244,33833,7,Directed
51071,35731,11,Directed
51071,103448,7,Directed
35731,16801,6,Directed
35731,3998,6,Directed
54222,54222,11,Directed
85319,92305,11,Directed
92305,85319,6,Directed
9964,9964,11,Directed
105315,29100,10,Directed
29100,105315,6,Directed
120719,88,10,Directed
120719,3998,6,Directed
128515,88,10,Directed
128515,677,7,Directed
128515,12965,5,Directed
128515,89805,5,Directed
137587,88,10,Directed
137587,677,6,Directed
137587,1988,5,Directed
138860,138860,10,Directed
13912,135355,10,Directed
13912,88,5,Directed
135355,13912,7,Directed
57105,14588,7,Directed
171054,88,10,Directed
171734,88,10,Directed
171734,1988,9,Directed
171734,677,6,Directed
174346,174346,10,Directed
176488,13813,10,Directed
176488,677,5,Directed
191347,88,10,Directed
191347,677,5,Directed
13239,10093,8,Directed
195232,195232,10,Directed
208502,208502,10,Directed
2178,88,10,Directed
2178,3998,8,Directed
220100,220099,10,Directed
220099,220100,6,Directed
19604,11991,9,Directed
19604,3998,6,Directed
19604,88,6,Directed
237343,88,10,Directed
237343,3998,6,Directed
240806,1988,10,Directed
240806,677,5,Directed
241617,98204,10,Directed
241617,26153,8,Directed
241617,88,6,Directed
260304,39885,10,Directed
260304,103447,8,Directed
272861,272862,10,Directed
272862,272861,5,Directed
50305,27705,8,Directed
50305,57105,8,Directed
50305,1988,7,Directed
50305,14588,6,Directed
50305,14615,6,Directed
279373,88,10,Directed
279373,3998,6,Directed
282758,44086,10,Directed
282758,88,10,Directed
282758,3998,9,Directed
282758,13813,7,Directed
44086,34801,8,Directed
44086,44086,7,Directed
44086,88,6,Directed
285443,677,10,Directed
285443,88,7,Directed
285443,349,5,Directed
37532,37532,10,Directed
37532,88,9,Directed
3027,2287,10,Directed
3027,88,6,Directed
30742,30750,10,Directed
30750,30742,10,Directed
319990,319990,10,Directed
37428,88,10,Directed
37428,349,6,Directed
394034,96067,10,Directed
96067,394034,8,Directed
96067,207170,7,Directed
40886,1988,10,Directed
40886,349,9,Directed
40886,88,6,Directed
420228,3998,10,Directed
420228,88,6,Directed
4322,20385,10,Directed
20385,4322,8,Directed
20385,88,7,Directed
20385,26158,6,Directed
20385,36840,5,Directed
4336,11692,10,Directed
4336,4336,7,Directed
4336,85739,6,Directed
11692,4336,9,Directed
11692,48357,5,Directed
11692,67382,5,Directed
43722,88,10,Directed
43722,1988,7,Directed
54060,42180,10,Directed
54060,42179,6,Directed
62906,26398,10,Directed
62906,5193,9,Directed
26398,88,8,Directed
26398,5193,7,Directed
6241,208867,7,Directed
6241,26398,6,Directed
71888,9021,10,Directed
71888,50218,7,Directed
78701,3998,10,Directed
78701,88,10,Directed
78701,13808,7,Directed
90578,19913,10,Directed
90578,6940,9,Directed
193543,98430,5,Directed
9932,9964,10,Directed
133156,76455,9,Directed
76455,133156,7,Directed
137343,48623,9,Directed
137343,216,6,Directed
48623,216,9,Directed
140190,3998,9,Directed
140190,88,8,Directed
144100,144099,9,Directed
144099,144100,6,Directed
144099,19870,6,Directed
144099,88,5,Directed
146381,88,9,Directed
146381,3998,6,Directed
155565,221221,9,Directed
221221,155565,6,Directed
157147,25931,9,Directed
25931,157147,8,Directed
25931,88,7,Directed
25931,349,5,Directed
165693,3547,9,Directed
165693,23769,6,Directed
3547,3998,5,Directed
173809,11991,9,Directed
173809,110903,6,Directed
17573,1988,9,Directed
192943,112673,9,Directed
112673,192943,6,Directed
224711,26158,9,Directed
224711,88,5,Directed
228125,1988,9,Directed
228125,88,7,Directed
25907,88,9,Directed
25907,3998,5,Directed
7566,28458,6,Directed
292109,35216,9,Directed
292109,88,6,Directed
304714,304715,9,Directed
304715,304714,5,Directed
351318,64280,9,Directed
400577,1276,9,Directed
400577,1988,6,Directed
446415,88,9,Directed
452892,5226,9,Directed
452892,1988,7,Directed
452892,5193,7,Directed
49434,52908,9,Directed
36436,52908,7,Directed
53575,88,9,Directed
5383,22512,9,Directed
5493,1988,9,Directed
55965,37532,9,Directed
55965,88,6,Directed
61944,4720,9,Directed
81265,81265,9,Directed
84219,88,9,Directed
84219,1988,6,Directed
42182,42172,7,Directed
97881,97882,9,Directed
97882,97881,8,Directed
98992,88,9,Directed
106789,88,8,Directed
106789,14615,5,Directed
108272,88,8,Directed
108272,5226,7,Directed
113367,49673,8,Directed
49673,113367,6,Directed
116808,19913,8,Directed
116808,16527,5,Directed
117539,24443,8,Directed
24443,117539,8,Directed
13809,11991,6,Directed
124340,16801,8,Directed
124340,3998,7,Directed
124340,88,6,Directed
128,3998,8,Directed
128,3547,5,Directed
130098,1988,8,Directed
130098,88,5,Directed
137746,3998,8,Directed
137746,88,6,Directed
169977,88,8,Directed
169977,1988,5,Directed
170862,26153,8,Directed
170862,88,8,Directed
170862,98204,7,Directed
183241,183241,8,Directed
184761,14615,8,Directed
184761,19913,8,Directed
184761,32972,8,Directed
184761,37532,5,Directed
185437,88,8,Directed
195807,278811,8,Directed
278811,195807,6,Directed
278811,37502,6,Directed
201103,88,8,Directed
201103,9964,5,Directed
231955,7533,8,Directed
231955,59195,6,Directed
7533,59195,6,Directed
24647,6241,8,Directed
24647,1988,6,Directed
247265,88,8,Directed
25006,52908,8,Directed
252993,252993,8,Directed
26175,1988,8,Directed
26175,88,8,Directed
26674,26674,8,Directed
26677,88,8,Directed
26677,3998,7,Directed
26677,26677,6,Directed
280798,3998,8,Directed
280798,88,5,Directed
287121,287121,8,Directed
287121,677,8,Directed
322484,88,8,Directed
322484,1988,7,Directed
36840,1988,8,Directed
37162,88,8,Directed
389438,290322,8,Directed
290322,389438,6,Directed
3972,3994,8,Directed
42714,42714,8,Directed
440798,440798,8,Directed
452453,5226,8,Directed
452453,88,6,Directed
453313,349,8,Directed
453313,1276,7,Directed
49701,8959,8,Directed
8959,49701,8,Directed
50267,33833,8,Directed
6072,42182,8,Directed
6072,88,7,Directed
69883,242935,8,Directed
69883,6940,6,Directed
242935,69883,6,Directed
69891,6940,8,Directed
80426,71888,8,Directed
96775,44307,8,Directed
96775,677,7,Directed
44307,677,7,Directed
103439,88,7,Directed
103439,13813,6,Directed
103439,3998,5,Directed
103439,89814,5,Directed
108538,88,7,Directed
108538,14075,5,Directed
109647,92274,7,Directed
109647,67382,6,Directed
121414,3998,7,Directed
121414,88,6,Directed
129505,553,7,Directed
12966,12966,7,Directed
12966,88,6,Directed
130735,22470,7,Directed
132404,1988,7,Directed
132404,88,7,Directed
132404,105601,5,Directed
132404,93502,5,Directed
13374,88,7,Directed
13374,3998,5,Directed
135547,6080,7,Directed
148228,88,7,Directed
1880,3604,7,Directed
189336,44086,7,Directed
191855,88,7,Directed
196276,26153,7,Directed
196276,3998,7,Directed
209683,58574,7,Directed
209683,7569,6,Directed
214092,88,7,Directed
214092,1988,6,Directed
218783,14615,7,Directed
218783,14588,6,Directed
226183,349,7,Directed
226183,677,6,Directed
230115,68308,7,Directed
230115,76165,7,Directed
230115,88,6,Directed
230115,54222,5,Directed
230245,677,7,Directed
230245,349,5,Directed
242386,242386,7,Directed
254006,254004,7,Directed
254004,254006,5,Directed
254417,88,7,Directed
254417,3998,5,Directed
258530,84831,7,Directed
84831,258530,6,Directed
13798,11692,6,Directed
13798,4336,5,Directed
262889,262889,7,Directed
26334,88,7,Directed
26334,389,6,Directed
26334,1988,5,Directed
265554,7566,7,Directed
265554,1276,6,Directed
265554,5226,5,Directed
267269,3994,7,Directed
267269,88,6,Directed
267269,132404,5,Directed
269219,2014,7,Directed
269219,2941,7,Directed
27036,35382,7,Directed
27036,88,7,Directed
27399,27399,7,Directed
278509,6948,7,Directed
280974,88,7,Directed
280974,3998,5,Directed
288158,142160,7,Directed
288158,88,7,Directed
288158,3998,6,Directed
302964,677,7,Directed
302964,11991,5,Directed
309547,1988,7,Directed
309547,1276,6,Directed
309547,677,5,Directed
309547,88,5,Directed
3255,110903,7,Directed
3255,3255,7,Directed
350982,3998,7,Directed
350982,46754,7,Directed
350982,5859,6,Directed
350982,1988,5,Directed
350982,88,5,Directed
35375,16358,7,Directed
35375,35376,7,Directed
360424,167007,7,Directed
167007,360424,5,Directed
39124,16358,7,Directed
39124,88,6,Directed
396118,396118,7,Directed
40407,40407,7,Directed
42947,677,7,Directed
47220,677,7,Directed
48350,123084,7,Directed
48350,10741,6,Directed
50228,50250,6,Directed
103448,51071,5,Directed
511,13808,7,Directed
51181,1988,7,Directed
51181,677,6,Directed
52150,90083,7,Directed
60035,14615,7,Directed
60035,14588,6,Directed
208867,6241,5,Directed
6958,35216,7,Directed
71822,16358,7,Directed
77276,1988,7,Directed
81403,1988,7,Directed
81422,13808,7,Directed
85739,4336,7,Directed
8992,8992,7,Directed
207170,96067,6,Directed
98762,3998,7,Directed
98762,88,6,Directed
10339,1276,6,Directed
10339,88,5,Directed
113088,88,6,Directed
115093,2014,6,Directed
115093,13603,5,Directed
115093,2941,5,Directed
116323,88,6,Directed
125279,468,6,Directed
125279,317,5,Directed
132857,88,6,Directed
132857,3998,5,Directed
13879,49825,6,Directed
13879,3604,5,Directed
49825,3604,6,Directed
139790,82150,6,Directed
82150,139790,6,Directed
140393,236655,6,Directed
140393,349,6,Directed
140393,1988,5,Directed
140393,677,5,Directed
14205,22470,6,Directed
154203,26158,6,Directed
154203,88,6,Directed
156116,309343,6,Directed
309343,156116,5,Directed
16672,56426,6,Directed
167,88,6,Directed
167,1988,5,Directed
169287,2342,6,Directed
169287,88,5,Directed
16970,2417,6,Directed
170665,6241,6,Directed
170665,5226,5,Directed
171153,171153,6,Directed
17155,677,6,Directed
175276,28951,6,Directed
175276,88,6,Directed
175682,175682,6,Directed
176481,349,6,Directed
176481,88,6,Directed
176481,4665,5,Directed
177272,2014,6,Directed
177272,42182,6,Directed
18431,677,6,Directed
18431,88,5,Directed
187431,13765,6,Directed
187431,88,6,Directed
188618,88,6,Directed
188618,3998,5,Directed
192549,1988,6,Directed
192549,677,6,Directed
192549,88,5,Directed
201077,88,6,Directed
201077,3972,5,Directed
220156,52150,6,Directed
220181,1988,6,Directed
220181,519,5,Directed
22240,126458,6,Directed
126458,22240,5,Directed
228260,677,6,Directed
228260,88,6,Directed
237922,237922,6,Directed
238671,238671,6,Directed
244580,244580,6,Directed
245376,156668,6,Directed
245376,38602,6,Directed
156668,22814,5,Directed
250019,250017,6,Directed
250017,250019,5,Directed
268877,88,6,Directed
268877,3998,5,Directed
273882,677,6,Directed
273882,88,5,Directed
286381,286380,6,Directed
286380,286381,5,Directed
29081,29081,6,Directed
29081,88,5,Directed
29542,88,6,Directed
295879,88,6,Directed
295879,519,5,Directed
297587,297587,6,Directed
303217,88,6,Directed
303217,519,5,Directed
338835,338835,6,Directed
340987,37502,6,Directed
35103,88,6,Directed
35103,54070,5,Directed
364727,364727,6,Directed
387245,677,6,Directed
398121,398121,6,Directed
42894,677,6,Directed
429298,2941,6,Directed
435809,88,6,Directed
43719,1988,6,Directed
43719,88,6,Directed
4561,4570,6,Directed
47241,13275,6,Directed
13275,47241,5,Directed
47631,47631,6,Directed
10741,48350,5,Directed
48652,48652,6,Directed
51886,88,6,Directed
51892,51892,6,Directed
77579,35376,6,Directed
77579,6940,6,Directed
80428,80428,6,Directed
81723,511,6,Directed
88951,19913,6,Directed
88951,88,6,Directed
91119,190207,6,Directed
190207,91119,5,Directed
91359,16640,6,Directed
16640,91359,5,Directed
126503,93502,5,Directed
97129,13813,6,Directed
973,973,6,Directed
10269,162402,5,Directed
103759,677,5,Directed
103759,88,5,Directed
110170,12751,5,Directed
110170,43725,5,Directed
111056,21198,5,Directed
117615,677,5,Directed
11998,11998,5,Directed
12038,1988,5,Directed
12038,349,5,Directed
126028,9021,5,Directed
130815,130816,5,Directed
132830,468,5,Directed
133572,145703,5,Directed
145703,133572,5,Directed
134319,47631,5,Directed
134319,9021,5,Directed
136575,88,5,Directed
13820,13820,5,Directed
150341,150341,5,Directed
15421,1988,5,Directed
15493,15527,5,Directed
15527,15493,5,Directed
16460,16460,5,Directed
170101,135547,5,Directed
170101,6080,5,Directed
173407,88,5,Directed
177747,1988,5,Directed
177747,88,5,Directed
180056,13813,5,Directed
180056,3998,5,Directed
180056,88,5,Directed
19182,19182,5,Directed
204728,349,5,Directed
204728,88,5,Directed
208279,208279,5,Directed
220962,6241,5,Directed
245594,3998,5,Directed
245594,88,5,Directed
24797,88,5,Directed
248412,19913,5,Directed
248412,3998,5,Directed
248412,88,5,Directed
254342,254342,5,Directed
255249,5226,5,Directed
255249,677,5,Directed
25640,88,5,Directed
260659,13633,5,Directed
265704,265704,5,Directed
26633,2941,5,Directed
275226,52122,5,Directed
275226,6166,5,Directed
28962,677,5,Directed
292783,324281,5,Directed
324281,292783,5,Directed
30225,88,5,Directed
3166,3166,5,Directed
327655,327655,5,Directed
335263,69237,5,Directed
335263,88,5,Directed
350374,88,5,Directed
